Year(s);Months;Country;Ebola_subtype;nr_human_cases;nr_deaths ;perc_deaths_of_cases;Situation
2014;August - November;DRC;Ebola virus;66;49;74;Outbreak occurred in multiple villages in the Democratic Republic of the Congo. The outbreak was unrelated to the outbreak of Ebola in West Africa.
2014;March - Present;Multiple countries;Ebola virus;28513;11313;0;Ongoing outbreak across multiple countries in West Africa. Number of patients is constantly evolving due to the ongoing investigation.
2012-2013;November - January ;Uganda;Sudan virus;6;3;50;Outbreak occurred in the Luwero District. CDC assisted the Ministry of Health in the epidemiologic and diagnostic aspects of the outbreak. Testing of samples by CDC's Viral Special Pathogens Branch occurred at UVRI in Entebbe.
2012;June - November;DRC;Bundibugyo virus;36;13;36;Outbreak occurred in DRCås Province Orientale. Laboratory support was provided through CDC and the Public Health Agency of Canada (PHAC)ås field laboratory in Isiro, as well as through the CDC/UVRI lab in Uganda. The outbreak in DRC had no epidemiologic link to the near contemporaneous Ebola outbreak in the Kibaale district of Uganda. 31  
2012;June - October;Uganda;Sudan virus;11;4;36;Outbreak occurred in the Kibaale District of Uganda. Laboratory tests of blood samples were conducted by the UVRI and the CDC.
2011;May;Uganda;Sudan virus;1;1;100;The Uganda Ministry of Health informed the public a patient with suspected Ebola Hemorrhagic fever died on May 6, 2011 in the Luwero district, Uganda. The quick diagnosis from a blood sample of Ebola virus was provided by the new CDC Viral Hemorrhagic Fever laboratory installed at the Uganda Viral Research Institute (UVRI).
2008 - 2009;December - February;DRC;Zaire virus;32;15;47;Outbreak occurred in the Mweka and Luebo health zones of the Province of Kasai Occidental.
1989;November;Philippines;Reston virus;6;0;0;First known occurrence of Ebola-Reston in pigs. Strain closely similar to earlier strains. Six workers from the pig farm and slaughterhouse developed antibodies but did not become sick.
2007 - 2008;December - January;Uganda;Bundibugyo virus;149;37;25;Outbreak occurred in Bundibugyo District in western Uganda. First reported occurrence of a new strain.
2007;;DRC;Zaire virus;264;187;71;Outbreak occurred in Kasai Occidental Province. The outbreak was declared over November 20. Last confirmed case on October 4 and last death on October 10.
2004;;Russia;Zaire virus;1;1;100;Laboratory contamination.
2004;;South Sudan;Sudan virus;17;7;41;Outbreak occurred in Yambio county of southern Sudan. This outbreak was concurrent with an outbreak of measles in the same area, and several suspected EHF cases were later reclassified as measles cases.
2003;November - December ;Congo;Zaire virus;35;29;83;Outbreak occurred in Mbomo and Mbandza villages located in Mbomo distric, Cuvette Ouest D_partement.
2002 - 2003;December - April;Congo;Zaire virus;143;128;89;Outbreak occurred in the districts of Mbomo and K_ll_ in Cuvette Ouest D_partement.
2001 - 2002;October - March;Congo;Zaire virus;57;43;75;Outbreak occurred over the border of Gabon and the Republic of the Congo. This was the first time that Ebola hemorrhagic fever was reported in the Republic of the Congo.
2001 - 2002;October - March;Gabon;Zaire virus;65;53;82;Outbreak occurred over the border of Gabon and the Republic of the Congo.
2000 - 2001;;Uganda;Sudan virus;425;224;53;Occurred in Gulu, Masindi, and Mbarara districts of Uganda. The three most important risks associated with Ebola virus infection were attending funerals of Ebola hemorrhagic fever case-patients, having contact with case-patients in one's family, and providing medical care to Ebola case-patients without using adequate personal protective measures.
1996;;Russia;Zaire virus;1;1;100;Laboratory contamination
1996;;Philippines;Reston virus;0;0;0;Ebola-Reston virus was identified in a monkey export facility in the Philippines. No human infections were identified.
1996;;USA;Reston virus;0;0;0;Ebola-Reston virus was introduced into a quarantine facility in Texas by monkeys imported from the Philippines. No human infections were identified.
1996;;South Africa;Zaire virus;2;1;50;A medical professional traveled from Gabon to Johannesburg, South Africa, after having treated Ebola-infected patients and having been exposed to the virus. He was hospitalized, and a nurse who took care of him became infected and died.
1996-1997;July - January;Gabon;Zaire virus;60;45;74;Occurred in Boou_ area with transport of patients to Libreville. Index case-patient was a hunter who lived in a forest camp. Disease was spread by close contact with infected persons. A dead chimpanzee found in the forest at the time was determined to be infected.
1996;January - April;Gabon;Zaire virus;37;21;57;"Occurred in Mayibout area. A chimpanzee found dead in the forest was eaten by people hunting for food. Nineteen people who were involved in the butchery of the animal became ill; other cases occurred in family members."
1995;;Zaire;Zaire virus;315;250;81;Occurred in Kikwit and surrounding area. Traced to index case-patient who worked in the forest adjoining the city. The epidemic spread through families and hospitals.
1994;;Ivory Coast;Tai Forest virus;1;0;0;Scientist became ill after conducting an autopsy on a wild chimpanzee in the Tai Forest. The patient was treated in Switzerland.
1994;;Gabon;Zaire virus;52;31;60;"Occurred in M_kouka and other gold-mining camps deep in the rain forest. Initially thought to be yellow fever; identified as Ebola hemorrhagic fever in 1995."
1992;;Italy;Reston virus;0;0;0;Ebola-Reston virus was introduced into quarantine facilities in Sienna by monkeys imported from the same export facility in the Philippines that was involved in the episodes in the United States. No humans were infected.
