"","Country.Code","Country.Name","Year","CO2","GNI","Indicator.CO2.unit","Indicator.GNI.unit","Region","IncomeGroup","SpecialNotes","log_CO2","log_GNI"
"1","ABW","Aruba",1972,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.",NA,NA
"2","ABW","Aruba",1973,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.",NA,NA
"3","ABW","Aruba",1976,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.",NA,NA
"4","ABW","Aruba",1977,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.",NA,NA
"5","ABW","Aruba",1971,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.",NA,NA
"6","ABW","Aruba",1985,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.",NA,NA
"7","ABW","Aruba",1986,179.683,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.",5.19119418719982,NA
"8","ABW","Aruba",1975,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.",NA,NA
"9","ABW","Aruba",1988,612.389,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.",6.41736770150594,NA
"10","ABW","Aruba",1989,649.059,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.",6.47552362166302,NA
"11","ABW","Aruba",1990,1840.834,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.",7.51797400878092,NA
