,"Gross national income 2014, Atlas method",,,,,,,,,
,,,,,,,,,,
,,,,(millions of,,,,,,
,Ranking,,Economy,US dollars),,,,,,
,,,,,,,,,,
USA,1,,United States," 17,601,119 ",,,,,,
CHN,2,,China," 10,069,180 ",,,,,,
JPN,3,,Japan," 5,339,076 ",,,,,,
DEU,4,,Germany," 3,853,487 ",,,,,,
FRA,5,,France," 2,851,748 ",,,,,,
GBR,6,,United Kingdom," 2,754,110 ",,,,,,
BRA,7,,Brazil," 2,375,298 ",,,,,,
ITA,8,,Italy," 2,102,846 ",,,,,,
IND,9,,India," 2,035,887 ",,,,,,
RUS,10,,Russian Federation," 1,930,436 ",a,,,,,
CAN,11,,Canada," 1,836,937 ",,,,,,
AUS,12,,Australia," 1,519,375 ",,,,,,
ESP,13,,Spain," 1,395,889 ",b,,,,,
KOR,14,,"Korea, Rep."," 1,365,796 ",,,,,,
MEX,15,,Mexico," 1,235,721 ",,,,,,
IDN,16,,Indonesia," 923,738 ",,,,,,
NLD,17,,Netherlands," 863,031 ",,,,,,
TUR,18,,Turkey," 823,117 ",,,,,,
SAU,19,,Saudi Arabia," 759,271 ",b,,,,,
CHE,20,,Switzerland," 733,448 ",b,,,,,
ARG,21,,Argentina," 608,558 ",c,,,,,
SWE,22,,Sweden," 596,878 ",,,,,,
NOR,23,,Norway," 529,301 ",,,,,,
BEL,24,,Belgium," 527,971 ",,,,,,
IRN,25,,"Iran, Islamic Rep."," 527,970 ",b,,,,,
NGA,26,,Nigeria," 526,467 ",,,,,,
POL,27,,Poland," 521,847 ",,,,,,
AUT,28,,Austria," 427,313 ",b,,,,,
ARE,29,,United Arab Emirates," 410,724 ",,,,,,
VEN,30,,"Venezuela, RB"," 395,597 ",,,,,,
COL,31,,Colombia," 380,813 ",,,,,,
ZAF,32,,South Africa," 367,019 ",,,,,,
THA,33,,Thailand," 363,356 ",,,,,,
DNK,34,,Denmark," 345,772 ",,,,,,
PHL,35,,Philippines," 344,006 ",,,,,,
MYS,36,,Malaysia," 321,700 ",,,,,,
SGP,37,,Singapore," 301,639 ",,,,,,
HKG,38,,"Hong Kong SAR, China"," 291,997 ",,,,,,
ISR,39,,Israel," 287,462 ",,,,,,
EGY,40,,"Egypt, Arab Rep."," 273,120 ",,,,,,
FIN,41,,Finland," 266,027 ",b,,,,,
CHL,42,,Chile," 264,761 ",,,,,,
PAK,43,,Pakistan," 260,332 ",,,,,,
GRC,44,,Greece," 242,002 ",,,,,,
PRT,45,,Portugal," 221,692 ",,,,,,
IRQ,46,,Iraq," 219,883 ",,,,,,
DZA,47,,Algeria," 213,374 ",,,,,,
IRL,48,,Ireland," 205,984 ",,,,,,
QAT,49,,Qatar," 205,063 ",,,,,,
KAZ,50,,Kazakhstan," 201,806 ",,,,,,
CZE,51,,Czech Republic," 199,408 ",b,,,,,
PER,52,,Peru," 197,216 ",,,,,,
KWT,53,,Kuwait," 186,870 ",b,,,,,
ROM,54,,Romania," 186,639 ",,,,,,
NZL,55,,New Zealand," 174,578 ",b,,,,,
VNM,56,,Vietnam," 171,905 ",,,,,,
BGD,57,,Bangladesh," 171,595 ",,,,,,
UKR,58,,Ukraine," 152,065 ",a,,,,,
HUN,59,,Hungary," 132,882 ",,,,,,
AGO,60,,Angola," 117,412 ",,,,,,
MAR,61,,Morocco," 102,804 ",d,,,,,
ECU,62,,Ecuador," 96,607 ",,,,,,
SVK,63,,Slovak Republic," 96,420 ",b,,,,,
AZE,65,,Azerbaijan," 72,425 ",,,,,,
LKA,66,,Sri Lanka," 70,166 ",,,,,,
BLR,67,,Belarus," 69,525 ",,,,,,
PRI,68,,Puerto Rico," 69,432 ",b,,,,,
MMR,69,,Myanmar," 68,129 ",,,,,,
SDN,70,,Sudan," 67,278 ",,,,,,
OMN,71,,Oman," 65,921 ",b,,,,,
UZB,72,,Uzbekistan," 64,266 ",,,,,,
DOM,73,,Dominican Republic," 62,696 ",,,,,,
KEN,74,,Kenya," 58,086 ",,,,,,
URY,75,,Uruguay," 55,914 ",,,,,,
HRV,76,,Croatia," 55,161 ",,,,,,
GTM,77,,Guatemala," 54,565 ",,,,,,
BGR,78,,Bulgaria," 53,616 ",,,,,,
ETH,79,,Ethiopia," 53,189 ",,,,,,
LBY,80,,Libya," 49,509 ",,,,,,
CRI,81,,Costa Rica," 48,140 ",,,,,,
SVN,82,,Slovenia," 47,826 ",b,,,,,
TZA,83,,Tanzania," 45,938 ",e,,,,,
