Economy,Code,,Region,Income group,Lending category
Afghanistan,AFG,,South Asia,Low income,IDA
Albania,ALB,,Europe & Central Asia,Upper middle income,IBRD
Algeria,DZA,,Middle East & North Africa,Upper middle income,IBRD
American Samoa,ASM,,East Asia & Pacific,Upper middle income,..
Andorra,ADO,,..,High income: nonOECD,..
Angola,AGO,,Sub-Saharan Africa,Upper middle income,IBRD
Antigua and Barbuda,ATG,,..,High income: nonOECD,IBRD
Argentina,ARG,,Latin America & Caribbean,Upper middle income,IBRD
Armenia,ARM,,Europe & Central Asia,Lower middle income,IBRD
Aruba,ABW,,..,High income: nonOECD,..
Australia,AUS,,..,High income: OECD,..
Austria,AUT,,..,High income: OECD,..
Azerbaijan,AZE,,Europe & Central Asia,Upper middle income,IBRD
"Bahamas, The",BHS,,..,High income: nonOECD,..
Bahrain,BHR,,..,High income: nonOECD,..
Bangladesh,BGD,,South Asia,Low income,IDA
Barbados,BRB,,..,High income: nonOECD,..
Belarus,BLR,,Europe & Central Asia,Upper middle income,IBRD
Belgium,BEL,,..,High income: OECD,..
Belize,BLZ,,Latin America & Caribbean,Upper middle income,IBRD
Benin,BEN,,Sub-Saharan Africa,Low income,IDA
Bermuda,BMU,,..,High income: nonOECD,..
Bhutan,BTN,,South Asia,Lower middle income,IDA
Bolivia,BOL,,Latin America & Caribbean,Lower middle income,Blend
Bosnia and Herzegovina,BIH,,Europe & Central Asia,Upper middle income,IBRD
Botswana,BWA,,Sub-Saharan Africa,Upper middle income,IBRD
Brazil,BRA,,Latin America & Caribbean,Upper middle income,IBRD
Brunei Darussalam,BRN,,..,High income: nonOECD,..
Bulgaria,BGR,,Europe & Central Asia,Upper middle income,IBRD
Burkina Faso,BFA,,Sub-Saharan Africa,Low income,IDA
Burundi,BDI,,Sub-Saharan Africa,Low income,IDA
Cabo Verde,CPV,,Sub-Saharan Africa,Lower middle income,Blend
Cambodia,KHM,,East Asia & Pacific,Low income,IDA
Cameroon,CMR,,Sub-Saharan Africa,Lower middle income,Blend
Canada,CAN,,..,High income: OECD,..
Cayman Islands,CYM,,..,High income: nonOECD,..
Central African Republic,CAF,,Sub-Saharan Africa,Low income,IDA
Chad,TCD,,Sub-Saharan Africa,Low income,IDA
Channel Islands,CHI,,..,High income: nonOECD,..
Chile,CHL,,..,High income: OECD,IBRD
China,CHN,,East Asia & Pacific,Upper middle income,IBRD
Colombia,COL,,Latin America & Caribbean,Upper middle income,IBRD
Comoros,COM,,Sub-Saharan Africa,Low income,IDA
"Congo, Dem. Rep.",ZAR,,Sub-Saharan Africa,Low income,IDA
"Congo, Rep.",COG,,Sub-Saharan Africa,Lower middle income,Blend
Costa Rica,CRI,,Latin America & Caribbean,Upper middle income,IBRD
"Côte d'Ivoire",CIV,,Sub-Saharan Africa,Lower middle income,IDA
Croatia,HRV,,..,High income: nonOECD,IBRD
Cuba,CUB,,Latin America & Caribbean,Upper middle income,..
Curaçao,CUW,,..,High income: nonOECD,..
Cyprus,CYP,,..,High income: nonOECD,..
Czech Republic,CZE,,..,High income: OECD,..
Denmark,DNK,,..,High income: OECD,..
Djibouti,DJI,,Middle East & North Africa,Lower middle income,IDA
Dominica,DMA,,Latin America & Caribbean,Upper middle income,Blend
Dominican Republic,DOM,,Latin America & Caribbean,Upper middle income,IBRD
Ecuador,ECU,,Latin America & Caribbean,Upper middle income,IBRD
"Egypt, Arab Rep.",EGY,,Middle East & North Africa,Lower middle income,IBRD
