"","Country.Code","Country.Name","Year","CO2","GNI","Indicator.CO2.unit","Indicator.GNI.unit","Region","IncomeGroup","SpecialNotes"
"1","ABW","Aruba",1988,612.389,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"2","ABW","Aruba",1987,447.374,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"3","ABW","Aruba",1973,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"4","ABW","Aruba",1974,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"5","ABW","Aruba",1966,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"6","ABW","Aruba",1965,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"7","ABW","Aruba",1967,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"8","ABW","Aruba",1989,649.059,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"9","ABW","Aruba",1971,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"10","ABW","Aruba",1972,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"11","ABW","Aruba",1986,179.683,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"12","ABW","Aruba",1961,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"13","ABW","Aruba",1962,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"14","ABW","Aruba",1963,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"15","ABW","Aruba",1964,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"16","ABW","Aruba",2007,2357.881,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"17","ABW","Aruba",2008,2288.208,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"18","ABW","Aruba",2009,2295.542,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"19","ABW","Aruba",1968,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"20","ABW","Aruba",1969,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"21","ABW","Aruba",1970,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"22","ABW","Aruba",1984,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"23","ABW","Aruba",1985,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"24","ABW","Aruba",1960,NA,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"25","ABW","Aruba",1998,1668.485,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
"26","ABW","Aruba",1999,1683.153,NA,"CO2 emissions (kt)","GNI per capita, Atlas method (current US$)","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
